pagename,post_id,comment_id,comment
nytimes,10210339284703149,1918601078357405_187366065140000,Or the Reina Sophia!
nytimes,1617013844987655,1919439628273550_1919502951600551,Markus how do you know who she is reffering to? If she is talking about white supremacists then all of the people she is reffering to are white surpremacists. Funny that you feel the need to deny that.
nytimes,367883216967407,1919030691647777_1919099264974253,"Sorry, I am buzzed and trying to drive a stolen car to Poland.   Not easy"
nytimes,1896663537016767,1920170831533763_1920659434818236,Such a bloody shameless Buddhist terrorist u r ...!!! Burmese Buddhist r terrorist .
nytimes,10154965380341918,1919847421566104_1919852984898881,But you  felt the need to comment on.
nytimes,1496224867119855,1919520494932130_1919632294920950,That would be nice.
nytimes,10214463922097653,1918679185016261_163402440908648,"I forgot that I was addressing myself to an Anglophone. Depending in which language and in which country you learnt European history, you would use different names to design the Kingdom of Sardinia. The official name was Kingdom of Sardinia (english), Regno di Sardegna (italian), Royaume de Sardaigne (french), K?nigreich Sardinien  (german). Innoficially, but commonly used in Europe are designations such as ""Royaume de Pi?mont-Sardaigne"" (french), ""K?nigreich Sardinien-Piemont"" (german), Or ""Kingdom of Piedmont-Sardinia"" to emphasise that in the composite state under the rule of Savoy the Island of Sardinia was of secondary importance to the monarchy. The Turin Treaty of 24 March 1860 sanctioned the annexation of the Nice and Savoy counties to France, based on the secret agreement (1858) that if France would support the unification of Italy by Sardinia, in return Sardinia was asked to cede the Duchy of Savoy to France along with, more contentiously, the predominantly non french speaking County of Nice. In 1860 the state of Italy did not exist. Nizza (Nice) never belonged to Italy."
nytimes,1550774394982680,1918680988349414_1918747745009405,"But it's Puerto Rico, not Haiti, that suffered from Maria."
nytimes,593434797668972,1920170831533763_1920175051533341,"Bangladesh is not a rich country but their people have kind heart which most of the rich countries lack,, So, in my opinion Bangladesh is rich because it has possession of something which is becoming rare in this world now ""kindness and whole heartiness""."
nytimes,10207716793357856,1918680988349414_1918688321682014,Prayers for the world!!!
nytimes,10154926695682747,1918679185016261_1722076344517420,"Thank you for the portrait of my natal city, The New York Times. However... ""150 years ago Nice was an Italian city"" is grossly false: When the States of Savoy give Nice to France in 1860, Italy does not even exist (it was founded in 1861)... Nice was also not of ""pre-Italian"" culture, or spirit, at this time: The language spoken in the city was French, not Italian; actually, during the municipal plebiscite of 1860, 86% of voters opted for the attachment to France."
nytimes,141815956557258,10151310132129999_133307527308980,"They desperately need a italian coach... The exact same flaw most american singers have is that they can't pronounce proper italian. Just listen Joyce DiDonato's  ""Laisha ch'Iou piaingaou""."
nytimes,10207931620966718,1919446624939517_1921433054740874,I'm glad somebody's doing something because our Australian government is doing bugger all.
nytimes,1708516235859811,1918601078357405_348161765625474,only thing i missed in Madrid.  Madrid is more sophisticated though.  you might like Barcelona!
nytimes,1125309947600086,1918601078357405_1918658178351695,spanish ham the best I love it
nytimes,10210462806871290,1918702555013924_1919406818276831,Because the government already controls the wifi
nytimes,1795338457162635,1919439628273550_1919731511577695,"Aga, who ever said that ? "
nytimes,1805569396138981,184073478804176_133830590586326,"http://www.sandiegoville.com/2012/04/who-is-real-slomo-of-san-diego-ocean.html?m=1
That man suffers from prosopagnosia. He can barely see.  His story is incredible. He?s an awesome human being in person. My husband sees him every day in Pacific Beach. Haters gonna hate. But your just jealous of his awesomeness."
nytimes,10203815482103042,1919439628273550_1920710711479775,"and his twenty-four punishments, which he committed here, is not mentioned? escapes from violence, etc. from his country and behaves in the same way? completely wrong this report ..."
nytimes,10209898182602387,1919439628273550_1919597808257732,"They wouldn't want those hordes in their homelands and are delighted to see Europe forcibly absorb them, for a variety of reasons and later purposes. So much for Arab Muslim brotherhood and compassion. I hate to admit that Russia's hardline approach to illegal immigration and flow of self-labeled refugees has been more realistic."
nytimes,10213933869730940,10151310132129999_10151310179809999,I love that you can read some of the story on her face. So expressive! And it comes out in her voice.
nytimes,1453980541305711,1918960548321458_1918996074984572,"yes, just like people tortured and killed by ISIS...."
nytimes,10155003196421417,184073478804176_184127962132061,"You don't need to work and have such an amount of money if you live if you live in humility.

I know that is hard for people like you to live without a car, restaurants, big holidays... but it is possible."
nytimes,1870464592978745,10151311025844999_152602475326306,So great! 
nytimes,10212328996798910,1919520494932130_1919585508258962,"Anu Erdenebileg my post was about not being able to separate politics from fashion. Who I think is elegant or not has nothing to do with politics,  or race, but you wouldn't understand it. You see things from a different filter. Race has no bearings in my opinion here."
nytimes,10210643001655911,1919030691647777_1919101908307322,"Nick Timothy Knight Let's see your scholarly knowledge on the situation, i might be wrong. I know i started aggressive but from the past you have only proven me right, every time. Where are those sources? Not showing any sources and deflecting will just prove your ignorance anyway."
nytimes,5281959998,5281959998_1918268465057333,At least 30 children were killed when the Enrique Rebsamen school collapsed in Tuesday?s earthquake in Mexico City.
nytimes,1968723606706164,1919030691647777_1919108131640033,"Yes, there are racist people in Germany. And yes, there are people in Germany who don't want refugees to be here. But there are a lot of people who welcomed them and are helping them integrating in German society right now. Ist it so hard to understand that there's not THE German? 
We have the same problems that other societies have. I'm tired of these ""inner nazi"" comments. 
I don't like those nazi scumbags and yes there is a problem concerning racist people in this country. But don't forget all those people who tried everything possible to help and still trying."
nytimes,10213040245455375,1918679185016261_169076723670305,Helen Hall Bill Skilleter Dave Sinton this is my dream vacation in France! When should we meet up?!
nytimes,10210011276180335,10151308886239999_10151308953994999,@Bill Henderson...You White Supremacist kkk are disgusting!
nytimes,10214440562711049,1920170831533763_1920314568186056,"The Ministry of Truth, I mean NYT is working overtime in trying to whip up sympathy for Islamic militants who started a rebellion in Burma."
nytimes,10155832754853914,1919439628273550_1919686494915530,"Germany has not invaded Irak, or Libya. The US, along with a few other European countries did. Every Western State just does not have the same responsibility in ""destabilizing Middle East"""
nytimes,1753262808018498,1919520494932130_1919585931592253,He's a terrible designer. He'd be off of Project Runway by the first week.
nytimes,10214598331896068,1919163081634538_1919177881633058,Doesn't take long for trolls & Putin bots to enter.  Lol
nytimes,10208606755520234,1918601078357405_1918669735017206,"Madrid is like old NYC, diverse, a little gritty, creative and still affordable. Can't wait to go back and I've been there twice!"
nytimes,10155809142662277,10151308886239999_10151308908859999,"Why ""No Teeth"" to. Prosecution of obviously culpable police officers, its like the blue shield of Not an iota of  REAL 
responsibility!"
nytimes,10155790482461672,1918731105011069_1918831555001024,"Plz do a story where u can tell the world how the dam government is stealing all the food, water, tools that the people has given for the people!!!"
nytimes,1604749949581051,1918268465057333_1918992174984962,No te disculpes se entiende perfectamente sino que aprendan espa?ol !
nytimes,1378691645583347,1920170831533763_1920992008118312,"Sammy You  Hate Monger Illiterate idiot. Learn Buddhism history first. It is an Indian Religion started by a Hindu (Budha). It got very popular in India for a while. But then Hindu fanatics retaliated. killed millions of Buddhists  and kicked them  out of India. When Islam came to Central Asia, Buddhists were already gone long ago. Most of current Afghans are descendants of Jews who are part of last tribes in Jewish History. But how can I teach History to a brainless hate monger?"
nytimes,10156286019260730,1919520494932130_1919588324925347,"There's a word for this, collaborator."
nytimes,10213620600646256,1919163081634538_1919192774964902,Comey was the head of the FBI. Do you know anything about the FBI's history with black Americans?
nytimes,10154911631486198,1918679185016261_175816492979681,Wordless pull! Classic! Better than Boneas points!  Xxx
nytimes,1453980541305711,1920170831533763_1920176621533184,Too bad the Rohingya's militants attacked many govt stations in Aug and the govt of Myanmar retaliated against the civilians...this is a travesty. But the militants are partially to blame for using the civilians as pawns...it radicalizes more of their population to attack the Myanmar govt in general...old guerrilla  war tactics...
nytimes,1896042920723619,132791174027617_132826814024053,I never can figure out why they use unsalted butter and then add salt.
nytimes,10214812068881180,1919030691647777_1919248494959330,Facebook filters out top comments based on an algorithm. Please calm down. I'm genuinely worried you might overreact into some kind of injury.
nytimes,361784267592347,1920926231458223_1921008171450029,How do you figure?
nytimes,10213073563889245,1918731105011069_1921049104779269,"Deber?as de aprender que en ?stas situaciones no hay ideolog?as pol?ticas ni religiosas. Miguel de la Madrid tuvo la puntada de no aceptar ayuda internacional en el 85 ?y qu? pas?? Murieron miles de personas que pudieron ser salvadas. Todos necesitamos de todos, b?jale tres rayitas a tu orgullo y comprende que necesitamos toda la ayuda posible."
nytimes,10155728303811081,1919439628273550_1919567168260796,"Hi Romina, I do see and agree with your point. My only concern was that this is an isolated event that happened in one part of the country and I was afraid it will overshadow the good that is being done in other major parts, which is what I wanted to point out. The reporting and the video are as accurate as they can get. The timing is also particularly sensitive because Germany is heading into elections tomorrow."
nytimes,1895032920511122,1918268465057333_1918971581653688,"James P Harris almost all Of them had sent help. And we ate very thankful for that. Help comes in different ways, always from who can help."
nytimes,10212774177343412,1918601078357405_1918712071679639,Quel richesse de vocabulaire vive la Catalogne libre
nytimes,10210603365579600,10151309605854999_10151309610154999,"Why doesn't ""Chandigarh"" fit into 46?"
nytimes,1999777306936240,1919194918298021_1919298214954358,Praying  for  those  affected  by natural  disaster and return to  normal life. Natural disaster can happen to any country and everyone now.
nytimes,1703999262952721,1919520494932130_1919606528256860,"I still think he shouldn?t work for her. I understand every artist?s wish for a unique opportunity like that, I really do. However, there is something more important than an opportunity. It is the message you send by grabbing it. About who you are, what your price is, the ideals you stand for. It shouldn?t be the wrong ones. They are part of an artist?s legacy as well, you know..."
nytimes,10106483510105810,1919163081634538_1919226644961515,Brian Anderson bump
nytimes,10210137250449567,1919850988232414_1919887764895403,Cool.
nytimes,1687404687949988,1919030691647777_1919096261641220,"You're telling me to grow up?  You're that special kind, aren't ya?"
nytimes,10212503565497378,1919194918298021_1919248458292667,"Really,James P Harris? If I served my opinion matters, and if I didn't, no? Many of those serving right now see no other way out of this economy,  moving forward. The rest are patriots fooled by war for profit. 15 of the 19 men in 9/11 were Saudi and we hit Iraq.  I'm proud to have not served in this war for profit,  and if you did, I'm glad you made it out alive.  Your government could care less about your ignorant patriotic life."
nytimes,10212298271429118,1919030691647777_1919099671640879,"You do realize that poem was added years later, right?

Either way they'll be fine. They can always go to a civilized land like Canada."
nytimes,10155838230183594,1919520494932130_1919587518258761,He's not writting propaganda..he's designing gowns! 
nytimes,361048620983499,1919163081634538_1919173701633476,"Ok, but I completely understand their point. They're talking about his previous racist assertions related to criminal justice in black communities and that was not acceptable. I just wish they would raise the concerns in a way that actually facilitated a real dialogue that could help us move forward instead of merely shouting him down."
nytimes,1517168031676484,1918601078357405_1559135054107719,I like Spain - just not the tradition of running of the bulls and bullfighting. Cruel and sickening.
nytimes,1680682758618366,132791174027617_132836870689714,Ok I'll take your word for it and give it a try!
